code_region,nom_region,annee,mois,date,saison,trimestre,trend_index,temp_moy_mensuelle_region,temp_max_region,temp_min_region,precipitations_mm_region,humidite_region,vent_moyen_region,insolation_region
11,Île-de-France,1962,10,1962-10-01,automne,4,12.75,10.9,16.0,6.3,38.3,,3.7,10848.0
11,Île-de-France,1962,12,1962-12-01,hiver,4,12.916666666666666,0.6000000000000001,4.05,-2.4,42.35,80.0,4.6,
11,Île-de-France,1963,1,1963-01-01,hiver,1,13.0,-2.15,0.6,-4.35,15.6,77.0,4.1,5346.0
11,Île-de-France,1963,2,1963-02-01,hiver,1,13.083333333333334,-1.1,2.0999999999999996,-4.1,23.1,76.0,3.0999999999999996,5508.0
11,Île-de-France,1963,3,1963-03-01,printemps,1,13.166666666666666,6.0,10.45,2.45,69.05,,5.35,7824.0
11,Île-de-France,1963,4,1963-04-01,printemps,2,13.25,8.9,13.3,5.1,73.3,83.0,3.9,8394.0
11,Île-de-France,1963,5,1963-05-01,printemps,2,13.333333333333334,11.4,15.9,6.7,49.3,,4.2,11988.0
11,Île-de-France,1963,9,1963-09-01,automne,3,13.666666666666666,15.25,19.45,11.850000000000001,33.4,82.5,2.95,8502.0
11,Île-de-France,1963,10,1963-10-01,automne,4,13.75,10.8,15.3,7.2,19.5,88.0,2.55,
11,Île-de-France,1963,12,1963-12-01,hiver,4,13.916666666666666,0.44999999999999996,2.55,-1.9500000000000002,4.45,,3.2,2730.0
11,Île-de-France,1964,1,1964-01-01,hiver,1,14.0,0.43333333333333335,2.966666666666667,-1.9333333333333333,19.566666666666666,90.5,2.3333333333333335,2610.0
11,Île-de-France,1964,2,1964-02-01,hiver,1,14.083333333333334,5.0,7.5,2.6,45.7,89.0,3.8,2538.0
11,Île-de-France,1964,3,1964-03-01,printemps,1,14.166666666666666,5.2,8.4,2.4,51.7,,4.4,
11,Île-de-France,1964,4,1964-04-01,printemps,2,14.25,8.9,13.4,4.5,46.3,,4.7,9528.0
11,Île-de-France,1964,8,1964-08-01,ete,3,14.583333333333334,18.7,24.133333333333336,12.966666666666667,23.333333333333332,61.5,3.6,14070.0
11,Île-de-France,1964,9,1964-09-01,automne,3,14.666666666666666,15.8,21.4,10.6,39.3,82.0,3.6,12378.0
11,Île-de-France,1964,10,1964-10-01,automne,4,14.75,8.2,12.2,4.6,47.5,,3.3,6054.0
11,Île-de-France,1964,12,1964-12-01,hiver,4,14.916666666666666,2.3,4.7,-0.3,41.5,,4.6,3162.0
11,Île-de-France,1965,1,1965-01-01,hiver,1,15.0,3.3,6.0,1.1,89.5,90.0,4.9,
11,Île-de-France,1965,2,1965-02-01,hiver,1,15.083333333333334,1.7,4.8,-0.7,6.9,80.0,4.5,
11,Île-de-France,1965,4,1965-04-01,printemps,2,15.25,9.55,13.95,5.800000000000001,50.55,74.5,3.7,9846.0
11,Île-de-France,1965,8,1965-08-01,ete,3,15.583333333333334,15.9,22.6,11.4,103.1,76.0,2.8,
11,Île-de-France,1965,11,1965-11-01,automne,4,15.833333333333334,6.050000000000001,8.9,3.65,108.35,83.0,4.85,4200.0
11,Île-de-France,1966,1,1966-01-01,hiver,1,16.0,1.0,4.05,-1.7000000000000002,58.65,,3.9499999999999997,
11,Île-de-France,1966,3,1966-03-01,printemps,1,16.166666666666668,5.9,9.85,2.5,23.200000000000003,80.0,4.25,7806.0
11,Île-de-France,1966,9,1966-09-01,automne,3,16.666666666666668,15.3,20.0,11.1,31.3,82.0,3.2,11388.0
11,Île-de-France,1966,10,1966-10-01,automne,4,16.75,12.0,16.0,9.2,126.8,,3.6,
11,Île-de-France,1966,11,1966-11-01,automne,4,16.833333333333332,4.7,7.45,2.4000000000000004,80.3,88.0,3.75,3522.0
11,Île-de-France,1966,12,1966-12-01,hiver,4,16.916666666666668,5.6,8.1,3.1,96.3,92.0,5.0,
